OBJECTID,POINT_X,POINT_Y,East (X),North (Y),Z__depth_
1,32.82082336,39.81723992,484664.8347,4407488.299,0
2,32.82080845,39.81801635,484663.7312,4407574.475,0
3,32.82033,39.81964387,484623.1453,4407755.191,0
4,32.82020706,39.82019813,484612.7472,4407816.727,0
5,32.82057527,39.8213388,484644.5137,4407943.263,0
6,32.82087405,39.82207311,484670.247,4408024.711,0
7,32.82159102,39.82271708,484731.7485,4408096.061,0
8,32.82221721,39.82286511,484785.3705,4408112.383,0
9,32.82311031,39.82286333,484861.8016,4408112.034,0
10,32.82469555,39.82283157,484997.4594,4408108.242,0
11,32.82560128,39.82304521,485075.018,4408131.802,0
12,32.82675936,39.82323985,485174.1679,4408153.212,0
13,32.82800431,39.82287663,485280.6326,4408112.694,0
14,32.82898495,39.82225728,485364.4243,4408043.793,0
15,32.83461719,39.82546089,485847.0924,4408398.446,0
16,32.8343756,39.82659553,485826.6511,4408524.414,0
17,32.832762,39.82772108,485688.8004,4408649.593,0
18,32.8314404,39.82860145,485575.89,4408747.514,0
19,32.83051259,39.82900051,485496.5786,4408791.955,0
20,32.83003701,39.82911829,485455.907,4408805.104,0
21,32.82892868,39.82961266,485361.1697,4408860.154,0
22,32.82915867,39.82988405,485380.9078,4408890.237,0
23,32.83046454,39.83000639,485492.6785,4408903.602,0
24,32.83272858,39.82922478,485686.2526,4408816.489,0
25,32.83364262,39.82867012,485764.3543,4408754.783,0
26,32.83549358,39.82807825,485922.6252,4408688.8,0
27,32.8373426,39.82853079,486080.9435,4408738.737,0
28,32.83874837,39.82878089,486201.2894,4408766.277,0
29,32.84022068,39.82909788,486327.3416,4408801.233,0
30,32.8421813,39.82960854,486495.2161,4408857.612,0
